IRD_mean_pre,IRD_mean_mpt,IRD_mean_post,IRDu_pre,IRDl_pre,IRDu_mpt,IRDl_mpt,IRDu_post,IRDl_post,d18o_mean_pre,d18o_mean_mpt,d18o_mean_post,d18ou_pre,d18ol_pre,d18ou_mpt,d18ol_mpt,d18ou_post,d18ol_post,time
0.280307111780843,0.221327476837388,0.56242500185443,0.184642471709293,0.375971751852394,0.154637712443542,0.288017241231234,0.282336791950372,0.842513211758489,0.191938770612169,0.145098967044447,0.165378451144429,0.141132831876172,0.242744709348165,0.127105232157293,0.163092701931601,0.102010107104294,0.228746795184564,1
0.989144920478486,0.606676704374223,2.34343972322846,0.659266492161274,1.3190233487957,0.414290625977847,0.7990627827706,1.12474047263665,3.56213897382027,0.691650420898659,0.544791290907346,0.706522862028524,0.513631467652099,0.86966937414522,0.489677765617338,0.599904816197354,0.462131888023853,0.950913836033195,3.5
1.44734253543622,0.826187787515664,4.16983141811637,0.979548023496091,1.91513704737635,0.62264261576698,1.02973295926435,2.01657388402188,6.32308895221087,1.31912260275904,1.09927497636582,1.64613734849737,1.01560156444461,1.62264364107347,0.989804009312572,1.20874594341908,1.17084373264481,2.12143096434993,6
1.93451736332004,1.46235608439033,5.87825153324741,1.33971061603507,2.52932411060502,1.07049492148441,1.85421724729625,3.27231710636049,8.48418596013433,2.03637773920903,1.76385117839166,2.74000214459561,1.61495614319125,2.45779933522682,1.56868081258603,1.95902154419729,1.98878173404795,3.49122255514328,8.5
2.53814085971048,2.49922341585256,8.39981071268382,1.8577114548595,3.21857026456147,1.66715423527857,3.33129259642655,5.36659367886879,11.4330277464989,2.75251049273262,2.53543654377228,4.01141376240132,2.2363176466859,3.26870333877934,2.22524155908555,2.845631528459,3.01601003836122,5.00681748644142,11
3.11656551690859,3.46921091903081,11.7994293041345,2.37343773853959,3.8596932952776,2.53754291667079,4.40087892139083,8.15256418859276,15.4462944196763,3.67556783377717,3.5760773038465,5.52447194984748,3.08956901400352,4.26156665355082,3.09474113020408,4.05741347748893,4.31580134252833,6.73314255716662,13.5
4.04136818281243,4.53872267619554,14.8925142363374,3.17566926590499,4.90706709971987,3.50640679981677,5.57103855257431,10.5608678330779,19.2241606395969,4.71885572455854,4.85675195373718,7.16996162707075,4.08462701205615,5.35308443706093,4.13938025129789,5.57412365617648,5.7603395577579,8.57958369638361,16
5.8651720013231,6.02509019195298,17.7070998838818,4.64690352745232,7.08344047519389,4.71550817768664,7.33467220621933,12.7013287233851,22.7128710443784,5.90106967558464,6.34136145474668,8.93833118290899,5.20399765991639,6.59814169125289,5.41540343618178,7.26731947331157,7.38490501614453,10.4917573496735,18.5
8.34678818761601,8.06443320971951,20.3182212820112,6.69874689275268,9.99482948247933,6.51274128842246,9.61612513101656,14.620596128322,26.0158464357004,7.08410653938784,7.8986198770458,10.7725778644032,6.34985732433871,7.81835575443696,6.7887581328339,9.0084816212577,9.10784677492596,12.4373089538804,21
11.3016996871183,9.99338181749155,22.9947268766023,9.0200185840173,13.5833807902194,8.21923291472713,11.767530720256,16.7851206114008,29.2043331418038,8.31970986883452,9.53898032664883,12.9837609558827,7.54062394283528,9.09879579483376,8.21661690198299,10.8613437513147,11.2188307375288,14.7486911742366,23.5
14.1167217507564,11.9692162293814,26.8006434411658,11.3000648403316,16.9333786611812,9.9169721316075,14.0214603271553,20.5488788155469,33.0524080667847,9.72127919443028,11.3032985452973,15.4268712255597,8.8667623229145,10.5757960659461,9.78680955325965,12.8197875373349,13.5875680638658,17.2661743872535,26
16.9839137760293,15.1110083958802,30.2261553950183,13.7415634242323,20.2262641278262,12.6959128437587,17.5261039480017,23.6416849593783,36.8106258306584,11.2910675926828,13.234510486899,17.8833554983174,10.3581728113826,12.223962373983,11.6494213567012,14.8195996170968,16.012300035613,19.7544109610218,28.5
20.1139548331562,20.4135301630788,32.269878394086,16.6065523916059,23.6213572747065,17.2198929805789,23.6071673455788,25.2884710606686,39.2512857275034,13.1267833733927,15.409539303127,20.3432424787107,12.0780006863134,14.175566060472,13.793568054087,17.0255105521671,18.4450625210807,22.2414224363408,31
23.2447492849055,27.6065334182611,34.9241156298924,19.5864234554082,26.9030751144028,22.9552892981348,32.2577775383874,27.8107574833184,42.0374737764664,15.1874417706292,17.7700617440653,22.8401186187339,14.0532859781506,16.3215975631078,16.0867510655148,19.4533724226158,20.8842190711548,24.7960181663129,33.5
26.1860044654204,36.0752956456344,36.4061181474154,22.3659251015928,30.0060838292479,29.5825437518604,42.5680475394084,29.1264219549681,43.6858143398626,17.3631258555022,20.1776528546888,25.2600124779788,16.1061012177059,18.6201504932986,18.4818054096279,21.8735002997498,23.262412935524,27.2576120204335,36
29.2103211834545,43.3222937597386,37.1077900949216,25.3012022622489,33.1194401046602,35.408642175026,51.2359453444512,29.7856071171872,44.4299730726559,19.7718828906712,22.7540724109783,27.5428692140515,18.3747391861665,21.1690265951759,21.0481129074782,24.4600319144784,25.5312838191194,29.5544546089836,38.5
32.7015750764179,47.9733813844552,37.7270485800553,28.647300356643,36.7558497961928,39.3882869775951,56.5584757913153,30.4494428093018,45.0046543508088,22.4393286380328,25.3253690692763,29.7711149666131,20.8120243223064,24.0666329537592,23.6359201039744,27.0148180345782,27.7641074506666,31.7781224825596,41
36.5370834129706,50.8604494495803,39.1300602819776,32.2294304587741,40.8447363671672,42.1028570855899,59.6180418135707,32.164014004982,46.0961065589732,25.3646165113069,28.0299156758551,32.0064190306899,23.4887766002153,27.2404564223985,26.3979990423591,29.6618323093511,30.0509397136693,33.9618983477104,43.5
