"peak_lag","precession_BT","obliquity_BT","eccentricity_BT","cross_correlation"
-1.65384615384615,-3.39559306654875,-2.40185732113545,-4.68861978594482,-2
-1.79464314757592,-3.97484295512696,-2.96762917140032,-6.17116514862192,-3
-1.05295453267373,-2.81634317943477,-1.83608547087059,-3.20607442326772,-1
